trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 1}",20,0,-161.8934343557572,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 1}",20,0,-30.06326174694055,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 1}",30,0,-259.83766787748453,"{0: 11, 1: 4, 2: 11, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 1}",35,0,-210.20375651762774,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 1}",20,0,-67.26992084272656,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 1}",30,0,-234.5984280067004,"{0: 14, 1: 6, 2: 6, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 1}",20,0,-172.4656239026735,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 1}",30,0,-174.57395204583105,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 1}",30,0,-185.19713816611005,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 1}",30,0,-154.35912271273156,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 1}",20,0,-28.37724832247367,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1}",20,0,-104.34626369496014,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 1}",20,0,-86.34931888312333,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1}",20,0,-111.3220266717433,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 1}",20,0,-129.79303330604026,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 1}",25,0,-141.5596438213167,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 1}",20,0,-56.43374221851804,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 1}",25,0,-108.1083364668397,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 1}",35,8,-131.19755804537982,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 1}",25,0,-94.39292170379498,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 1}",20,0,-104.32210955975088,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 1}",25,12,-99.99069263307578,"{0: 5, 1: 2, 2: 4, 3: 1, 4: 1}",1
65,False,"{'a': 0.5, 'e': 1}",25,0,-191.6602491419916,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 1}",30,0,-278.1861153081176,"{0: 14, 1: 2, 2: 8, 3: 2, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.990074503106359}",30,0,-158.80539229309235,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9611687812379854}",25,0,-174.43187918509568,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.933510700366403}",25,0,-90.94538377209011,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9070294784580498}",25,0,-59.54897147314209,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.8816592827701736}",35,0,-233.82392018946442,"{0: 21, 1: 2, 2: 5, 3: 4, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.8573388203017832}",30,11,-132.38071748461314,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.8340109672442193}",20,4,-21.827966107161952,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.811622433244055}",20,0,-100.40255934054326,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.7901234567901234}",20,0,-150.83106710210228,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
